ID ligne,ID commande,Année de la commande,Mois de la commande,Jour de la commande,Année de la livraison,Mois de la livraison,Jour de la livraison,Mode d'expédition,ID client,Nom du client,Segment,Ville,État/Province,Pays\Région,Région de vente,ID produit,Catégorie,Sous-catégorie,Remise,Produit,Montant des ventes,Quantité,Profit
672,CU-2017-163797,2017,11,13,2017,11,17,Tarif normal,HC-15955,Hernán Canales,Grand public,Sancti Spíritus,Sancti Spíritus,Cuba,LATAM - Caraïbes,OFF-BI-10000440,Fournitures de bureau,Classeurs,0,"Acco Index Tab, Economy",747.2,8,36.8
673,HN-2016-142230,2016,3,27,2016,3,30,Prioritaire,NC-19255,Natividad Collazo,Entreprise,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-PA-10001536,Fournitures de bureau,Papier,0.4,"SanDisk Message Books, 8.5 x 11",2351.16,3,-274.44
674,HN-2016-142230,2016,3,27,2016,3,30,Prioritaire,NC-19255,Natividad Collazo,Entreprise,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,TEC-CO-10002423,Produits technologiques,Photocopieurs,0.4,"Canon Personal Copier, High-Speed",597.6,4,-100
675,HN-2016-142230,2016,3,27,2016,3,30,Prioritaire,NC-19255,Natividad Collazo,Entreprise,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-EN-10003271,Fournitures de bureau,Enveloppes,0.4,"Ames Peel and Seal, Security-Tint",387.36,6,-103.44
676,HN-2016-142230,2016,3,27,2016,3,30,Prioritaire,NC-19255,Natividad Collazo,Entreprise,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-ST-10001646,Fournitures de bureau,Stockage,0.4,"Fellowes Box, Wire Frame",3111.36,7,-1659.84
677,HN-2016-142230,2016,3,27,2016,3,30,Prioritaire,NC-19255,Natividad Collazo,Entreprise,Tegucigalpa,Francisco Morazán,Honduras,LATAM - Centre,OFF-FA-10001680,Fournitures de bureau,Éléments de fixation,0.4,"OIC Push Pins, Metal",376.2,5,-131.8
678,SV-2018-142629,2018,7,11,2018,7,17,Tarif normal,MS-18655,Mauricio Salgado,Entreprise,Antiguo Cuscatlán,La Libertad,Le Salvador,LATAM - Centre,OFF-ST-10001142,Fournitures de bureau,Stockage,0.2,"Smead Folders, Wire Frame",3596.48,2,1258.48
679,HN-2017-159590,2017,10,28,2017,10,30,Prioritaire,ED-14125,Eleonora Delgadillo,Bureau à domicile,San Pedro Sula,Cortés,Honduras,LATAM - Centre,FUR-FU-10003462,Mobilier,Meubles,0.4,"Rubbermaid Photo Frame, Black",257.04,2,-171.36
680,MX-2016-148180,2016,9,11,2016,9,14,J+2,LG-17410,Leo Gutiérrez,Grand public,Mérida,Yucatán,Mexique,LATAM - Nord,OFF-EN-10002410,Fournitures de bureau,Enveloppes,0,"GlobeWeis Manila Envelope, Recycled",349.8,3,90.6
681,MX-2018-118381,2018,10,24,2018,10,29,Tarif normal,BL-11725,Baltasar Luján,Grand public,Durango,Durango,Mexique,LATAM - Nord,OFF-PA-10000450,Fournitures de bureau,Papier,0.2,"Green Bar Note Cards, Multicolor",2016.48,3,554.28
682,GT-2016-109827,2016,9,29,2016,10,2,J+2,NA-19285,Nicole Argüello,Grand public,Quetzaltenango,Quezaltenango,Guatemala,LATAM - Centre,OFF-AR-10000505,Fournitures de bureau,Art,0,"Binney & Smith Pens, Easy-Erase",576,3,172.8
683,GT-2016-109827,2016,9,29,2016,10,2,J+2,NA-19285,Nicole Argüello,Grand public,Quetzaltenango,Quezaltenango,Guatemala,LATAM - Centre,OFF-ST-10002340,Fournitures de bureau,Stockage,0,"Fellowes Shelving, Industrial",254,2,4.8
684,SV-2017-161067,2017,12,17,2017,12,21,Tarif normal,MG-18910,Mireia Garay,Bureau à domicile,Soyapango,San Salvador,Le Salvador,LATAM - Centre,FUR-CH-10002378,Mobilier,Chaises,0,"Harbour Creations Swivel Stool, Black",9632,7,4237.8
685,SV-2016-118171,2016,9,10,2016,9,12,Prioritaire,BR-11770,Bartolomé Rosales,Grand public,Apopa,San Salvador,Le Salvador,LATAM - Centre,OFF-AR-10001759,Fournitures de bureau,Art,0,"Sanford Sketch Pad, Fluorescent",1672.8,3,100.2
686,SV-2016-118171,2016,9,10,2016,9,12,Prioritaire,BR-11770,Bartolomé Rosales,Grand public,Apopa,San Salvador,Le Salvador,LATAM - Centre,TEC-CO-10001145,Produits technologiques,Photocopieurs,0,"Canon Personal Copier, Digital",5131.2,3,1128.6
687,NI-2018-108042,2018,11,5,2018,11,10,Tarif normal,TT-21145,Thalía Torres,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AR-10000399,Fournitures de bureau,Art,0,"Stanley Canvas, Water Color",2399.6,7,911.4
688,NI-2018-108042,2018,11,5,2018,11,10,Tarif normal,TT-21145,Thalía Torres,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,TEC-PH-10000270,Produits technologiques,Téléphones,0.002,"Apple Office Telephone, VoIP",10536.88,5,4412.884
689,NI-2018-108042,2018,11,5,2018,11,10,Tarif normal,TT-21145,Thalía Torres,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AP-10003971,Fournitures de bureau,Électroménager,0,"Hoover Toaster, Red",303,3,21
690,MX-2017-107167,2017,10,31,2017,11,4,Tarif normal,AJ-10840,Amador Jasón,Grand public,Zacatecas,Zacatecas,Mexique,LATAM - Nord,OFF-AR-10002783,Fournitures de bureau,Art,0,"Stanley Pencil Sharpener, Water Color",43.2,1,20.6
691,MX-2017-107167,2017,10,31,2017,11,4,Tarif normal,AJ-10840,Amador Jasón,Grand public,Zacatecas,Zacatecas,Mexique,LATAM - Nord,OFF-ST-10003835,Fournitures de bureau,Stockage,0.2,"Rogers Folders, Single Width",960.64,1,108.04
692,SV-2017-151568,2017,10,19,2017,10,23,Tarif normal,BT-11710,Baltasar Téllez,Grand public,San Salvador,San Salvador,Le Salvador,LATAM - Centre,TEC-CO-10001425,Produits technologiques,Photocopieurs,0,"HP Personal Copier, Color",1277,5,357
693,SV-2017-151568,2017,10,19,2017,10,23,Tarif normal,BT-11710,Baltasar Téllez,Grand public,San Salvador,San Salvador,Le Salvador,LATAM - Centre,OFF-BI-10001507,Fournitures de bureau,Classeurs,0,"Wilson Jones Binder Covers, Economy",86.4,1,31.8
694,SV-2017-151568,2017,10,19,2017,10,23,Tarif normal,BT-11710,Baltasar Téllez,Grand public,San Salvador,San Salvador,Le Salvador,LATAM - Centre,TEC-PH-10002663,Produits technologiques,Téléphones,0,"Nokia Signal Booster, VoIP",21208,5,2757
695,MX-2015-121860,2015,10,1,2015,10,7,Tarif normal,OM-19720,Oriol Montes,Grand public,Tlaquepaque,Jalisco,Mexique,LATAM - Nord,OFF-ST-10001554,Fournitures de bureau,Stockage,0.4,"Tenex File Cart, Industrial",69.84,1,-9.36
696,MX-2015-121860,2015,10,1,2015,10,7,Tarif normal,OM-19720,Oriol Montes,Grand public,Tlaquepaque,Jalisco,Mexique,LATAM - Nord,OFF-BI-10000482,Fournitures de bureau,Classeurs,0,"Acco 3-Hole Punch, Recycled",803.6,7,30.8
697,BR-2017-105228,2017,11,15,2017,11,22,Tarif normal,AB-11545,Astrid Briseño,Entreprise,Crato,Ceará,Brésil,LATAM - Sud,OFF-AR-10003629,Fournitures de bureau,Art,0,"Boston Canvas, Water Color",107.6,2,41.6
698,MX-2017-117016,2017,11,28,2017,11,30,J+2,MQ-18835,Modesto Quiñones,Entreprise,Zapopan,Jalisco,Mexique,LATAM - Nord,FUR-CH-10001150,Mobilier,Chaises,0,"SAFCO Steel Folding Chair, Red",1517.6,4,758.4
699,MX-2017-117016,2017,11,28,2017,11,30,J+2,MQ-18835,Modesto Quiñones,Entreprise,Zapopan,Jalisco,Mexique,LATAM - Nord,FUR-CH-10004095,Mobilier,Chaises,0,"Novimex Steel Folding Chair, Black",337.2,3,90.6
700,VE-2018-110961,2018,6,24,2018,6,27,J+2,AR-11410,Arturo Rocarte,Grand public,San Cristóbal,Táchira,Venezuela,LATAM - Sud,OFF-AP-10002229,Fournitures de bureau,Électroménager,0.4,"KitchenAid Coffee Grinder, Red",90.6,5,0.6
701,VE-2018-110961,2018,6,24,2018,6,27,J+2,AR-11410,Arturo Rocarte,Grand public,San Cristóbal,Táchira,Venezuela,LATAM - Sud,TEC-MA-10001934,Produits technologiques,Machines,0.402,"StarTech Printer, Red",2477.51,5,156.514
702,VE-2018-110961,2018,6,24,2018,6,27,J+2,AR-11410,Arturo Rocarte,Grand public,San Cristóbal,Táchira,Venezuela,LATAM - Sud,FUR-CH-10000745,Mobilier,Chaises,0.4,"Hon Chairmat, Adjustable",236.16,3,-8.04
703,MX-2018-161487,2018,11,12,2018,11,16,Tarif normal,TA-21175,Teodora Atencio,Entreprise,Orizaba,Veracruz,Mexique,LATAM - Nord,TEC-AC-10002363,Produits technologiques,Accessoires,0,"Logitech Keyboard, USB",1557,5,622
704,MX-2016-143826,2016,6,26,2016,7,3,Tarif normal,AZ-10300,Anselmo Zambrano,Entreprise,Ciudad Victoria,Tamaulipas,Mexique,LATAM - Nord,FUR-BO-10001133,Mobilier,Bibliothèques,0,"Ikea Classic Bookcase, Mobile",1692.8,2,592.4
705,MX-2017-118885,2017,7,17,2017,7,20,Prioritaire,UR-21400,Unai Reynoso,Grand public,Zapopan,Jalisco,Mexique,LATAM - Nord,OFF-BI-10000329,Fournitures de bureau,Classeurs,0,"Acco Binder, Durable",186.4,2,27.6
706,MX-2017-118885,2017,7,17,2017,7,20,Prioritaire,UR-21400,Unai Reynoso,Grand public,Zapopan,Jalisco,Mexique,LATAM - Nord,OFF-EN-10000056,Fournitures de bureau,Enveloppes,0,"Ames Manila Envelope, Security-Tint",167.2,2,14.8
707,MX-2017-118885,2017,7,17,2017,7,20,Prioritaire,UR-21400,Unai Reynoso,Grand public,Zapopan,Jalisco,Mexique,LATAM - Nord,OFF-LA-10001413,Fournitures de bureau,Étiquettes,0,"Hon Shipping Labels, Laser Printer Compatible",1155,5,508
708,MX-2016-104458,2016,10,4,2016,10,9,Tarif normal,AE-11380,Araceli Echevarría,Entreprise,Puebla,Puebla,Mexique,LATAM - Nord,OFF-BI-10003058,Fournitures de bureau,Classeurs,0,"Acco Binder Covers, Economy",1132,5,124
709,MX-2016-104458,2016,10,4,2016,10,9,Tarif normal,AE-11380,Araceli Echevarría,Entreprise,Puebla,Puebla,Mexique,LATAM - Nord,FUR-BO-10004388,Mobilier,Bibliothèques,0,"Ikea Library with Doors, Metal",1084.8,3,216.6
710,MX-2016-104458,2016,10,4,2016,10,9,Tarif normal,AE-11380,Araceli Echevarría,Entreprise,Puebla,Puebla,Mexique,LATAM - Nord,TEC-PH-10003995,Produits technologiques,Téléphones,0,"Nokia Audio Dock, VoIP",1858,2,798.8
711,MX-2016-104458,2016,10,4,2016,10,9,Tarif normal,AE-11380,Araceli Echevarría,Entreprise,Puebla,Puebla,Mexique,LATAM - Nord,OFF-ST-10002555,Fournitures de bureau,Stockage,0.4,"Eldon Lockers, Industrial",1404.48,7,210.28
712,DO-2017-157175,2017,11,14,2017,11,16,J+2,JC-17035,Jairo Castelo,Entreprise,Baní,Peravia,République dominicaine,LATAM - Caraïbes,OFF-ST-10002271,Fournitures de bureau,Stockage,0.5,"Rogers Shelving, Wire Frame",446.4,6,-232.8
713,DO-2017-157175,2017,11,14,2017,11,16,J+2,JC-17035,Jairo Castelo,Entreprise,Baní,Peravia,République dominicaine,LATAM - Caraïbes,OFF-FA-10000256,Fournitures de bureau,Éléments de fixation,0.2,"Advantus Clamps, Bulk Pack",58.24,1,-10.96
714,DO-2017-157175,2017,11,14,2017,11,16,J+2,JC-17035,Jairo Castelo,Entreprise,Baní,Peravia,République dominicaine,LATAM - Caraïbes,TEC-AC-10004269,Produits technologiques,Accessoires,0.2,"Belkin Memory Card, USB",2225.6,5,-390.4
715,DO-2017-157175,2017,11,14,2017,11,16,J+2,JC-17035,Jairo Castelo,Entreprise,Baní,Peravia,République dominicaine,LATAM - Caraïbes,OFF-SU-10003866,Fournitures de bureau,Fournitures,0.2,"Acme Ruler, Easy Grip",575.04,2,-100.96
716,MX-2018-141201,2018,9,11,2018,9,16,Tarif normal,TA-21175,Teodora Atencio,Entreprise,Mérida,Yucatán,Mexique,LATAM - Nord,OFF-SU-10001690,Fournitures de bureau,Fournitures,0.2,"Kleencut Box Cutter, Steel",696.48,3,208.68
717,MX-2018-141201,2018,9,11,2018,9,16,Tarif normal,TA-21175,Teodora Atencio,Entreprise,Mérida,Yucatán,Mexique,LATAM - Nord,OFF-BI-10003724,Fournitures de bureau,Classeurs,0,"Cardinal Index Tab, Economy",455,5,27
718,NI-2017-134187,2017,5,11,2017,5,16,Tarif normal,EC-14395,Ernestina Cepeda,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AR-10000316,Fournitures de bureau,Art,0,"Stanley Pens, Blue",1054,5,158
719,NI-2017-134187,2017,5,11,2017,5,16,Tarif normal,EC-14395,Ernestina Cepeda,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AR-10001190,Fournitures de bureau,Art,0,"Boston Canvas, Easy-Erase",1006.8,3,140.4
720,NI-2017-134187,2017,5,11,2017,5,16,Tarif normal,EC-14395,Ernestina Cepeda,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,TEC-CO-10001413,Produits technologiques,Photocopieurs,0,"Hewlett Wireless Fax, High-Speed",1277,5,357
721,NI-2015-112130,2015,3,23,2015,3,28,Tarif normal,MM-18475,Marina Marrero,Bureau à domicile,Managua,Managua,Nicaragua,LATAM - Centre,OFF-BI-10002674,Fournitures de bureau,Classeurs,0,"Cardinal Binder Covers, Recycled",222.4,2,93.2
722,BR-2016-151673,2016,6,21,2016,6,25,Tarif normal,QM-20155,Quinto Muñoz,Bureau à domicile,São Paulo,São Paulo,Brésil,LATAM - Sud,OFF-ST-10002175,Fournitures de bureau,Stockage,0,"Fellowes Lockers, Single Width",2934.4,4,674.4
723,CU-2018-151134,2018,7,3,2018,7,8,Tarif normal,CT-12535,Cecilia Tejada,Entreprise,Las Tunas,Las Tunas,Cuba,LATAM - Caraïbes,OFF-EN-10003431,Fournitures de bureau,Enveloppes,0,"Cameo Interoffice Envelope, Security-Tint",435,5,108
724,CU-2018-151134,2018,7,3,2018,7,8,Tarif normal,CT-12535,Cecilia Tejada,Entreprise,Las Tunas,Las Tunas,Cuba,LATAM - Caraïbes,OFF-ST-10002172,Fournitures de bureau,Stockage,0,"Fellowes Trays, Blue",1467.2,2,337.2
725,CU-2018-151134,2018,7,3,2018,7,8,Tarif normal,CT-12535,Cecilia Tejada,Entreprise,Las Tunas,Las Tunas,Cuba,LATAM - Caraïbes,OFF-BI-10001507,Fournitures de bureau,Classeurs,0,"Wilson Jones Binder Covers, Economy",86.4,1,31.8
726,CU-2018-151134,2018,7,3,2018,7,8,Tarif normal,CT-12535,Cecilia Tejada,Entreprise,Las Tunas,Las Tunas,Cuba,LATAM - Caraïbes,OFF-PA-10001492,Fournitures de bureau,Papier,0,"Enermax Note Cards, Premium",3985.6,4,1792.8
727,MX-2016-131121,2016,7,10,2016,7,15,Tarif normal,KP-17275,Karina Padilla,Grand public,Ciudad Juárez,Chihuahua,Mexique,LATAM - Nord,TEC-CO-10004154,Produits technologiques,Photocopieurs,0.002,"Canon Copy Machine, Digital",14208.33,6,5665.5264
728,BR-2018-129763,2018,2,16,2018,2,23,Tarif normal,TG-21055,Tamara González,Grand public,Fortaleza,Ceará,Brésil,LATAM - Sud,OFF-ST-10001173,Fournitures de bureau,Stockage,0,"Eldon Folders, Industrial",3302.2,11,1089
729,MX-2015-106943,2015,10,14,2015,10,19,Tarif normal,AB-11350,Anselmo Batista,Entreprise,Toluca,Mexique,Mexique,LATAM - Nord,TEC-MA-10002435,Produits technologiques,Machines,0.002,"Epson Receipt Printer, Wireless",968.06,1,95.06
731,MX-2017-158337,2017,6,27,2017,7,1,J+2,HV-15625,Heriberto Valderas,Grand public,Monterrey,Nuevo León,Mexique,LATAM - Nord,OFF-EN-10001997,Fournitures de bureau,Enveloppes,0,"GlobeWeis Business Envelopes, with clear poly window",1019.4,3,91.2
732,NI-2017-150287,2017,8,4,2017,8,11,Tarif normal,CA-12250,Cayetano Aparicio,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-BI-10002040,Fournitures de bureau,Classeurs,0,"Ibico 3-Hole Punch, Recycled",311.4,3,139.8
733,NI-2017-150287,2017,8,4,2017,8,11,Tarif normal,CA-12250,Cayetano Aparicio,Entreprise,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AP-10001776,Fournitures de bureau,Électroménager,0,"Hamilton Beach Microwave, White",122.4,3,52.2
734,NI-2017-119095,2017,5,7,2017,5,14,Tarif normal,AJ-10840,Amador Jasón,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-FA-10004605,Fournitures de bureau,Éléments de fixation,0,"OIC Clamps, Assorted Sizes",244.4,2,68.4
735,MX-2018-121727,2018,5,22,2018,5,25,Prioritaire,GA-15355,Goratze Almaraz,Grand public,Guadalajara,Jalisco,Mexique,LATAM - Nord,OFF-EN-10002736,Fournitures de bureau,Enveloppes,0,"Cameo Clasp Envelope, with clear poly window",190.2,3,91.2
736,MX-2017-123799,2017,4,16,2017,4,20,Tarif normal,EA-14140,Elisenda Aguilar,Bureau à domicile,León,Guanajuato,Mexique,LATAM - Nord,OFF-LA-10003511,Fournitures de bureau,Étiquettes,0,"Avery Round Labels, Adjustable",308.8,2,40
737,MX-2017-123799,2017,4,16,2017,4,20,Tarif normal,EA-14140,Elisenda Aguilar,Bureau à domicile,León,Guanajuato,Mexique,LATAM - Nord,FUR-FU-10000361,Mobilier,Meubles,0,"Deflect-O Photo Frame, Erganomic",1137.6,3,147.6
738,BR-2017-126767,2017,12,6,2017,12,10,Tarif normal,FJ-14830,Fernanda Juárez,Entreprise,São Bernardo do Campo,São Paulo,Brésil,LATAM - Sud,OFF-BI-10001138,Fournitures de bureau,Classeurs,0,"Acco 3-Hole Punch, Clear",373.2,3,48
739,DO-2016-155957,2016,9,19,2016,9,20,Prioritaire,OM-19720,Oriol Montes,Grand public,Bonao,Monseñor Nouel,République dominicaine,LATAM - Caraïbes,OFF-FA-10001680,Fournitures de bureau,Éléments de fixation,0.2,"OIC Push Pins, Metal",215.04,3,15.84
740,BR-2018-108406,2018,11,29,2018,12,5,Tarif normal,RV-20635,Rodolfo Villaseñor,Entreprise,Camaragibe,Pernambuco,Brésil,LATAM - Sud,OFF-BI-10004220,Fournitures de bureau,Classeurs,0,"Cardinal 3-Hole Punch, Recycled",494.4,3,197.4
741,SV-2016-121335,2016,9,19,2016,9,24,Tarif normal,ES-14200,Emanuel Saucedo,Bureau à domicile,San Salvador,San Salvador,Le Salvador,LATAM - Centre,OFF-BI-10003650,Fournitures de bureau,Classeurs,0,"Ibico Index Tab, Clear",896.4,6,403.2
742,SV-2016-121335,2016,9,19,2016,9,24,Tarif normal,ES-14200,Emanuel Saucedo,Bureau à domicile,San Salvador,San Salvador,Le Salvador,LATAM - Centre,OFF-ST-10002555,Fournitures de bureau,Stockage,0,"Eldon Lockers, Industrial",1003.2,3,491.4
743,HT-2017-121279,2017,7,31,2017,8,3,Prioritaire,AS-10495,Ainhoa Saavedra,Entreprise,Carrefour,Ouest,Haïti,LATAM - Caraïbes,OFF-LA-10001402,Fournitures de bureau,Étiquettes,0.4,"Smead Color Coded Labels, 5000 Label Set",213.6,2,-142.4
744,MX-2016-139990,2016,12,21,2016,12,23,J+2,FJ-14830,Fernanda Juárez,Entreprise,Toluca,Mexique,Mexique,LATAM - Nord,OFF-ST-10001413,Fournitures de bureau,Stockage,0.4,"Rogers Folders, Blue",616.68,3,-113.52
745,MX-2016-139990,2016,12,21,2016,12,23,J+2,FJ-14830,Fernanda Juárez,Entreprise,Toluca,Mexique,Mexique,LATAM - Nord,FUR-FU-10001169,Mobilier,Meubles,0,"Rubbermaid Clock, Duo Pack",649.6,4,311.2
746,MX-2016-139990,2016,12,21,2016,12,23,J+2,FJ-14830,Fernanda Juárez,Entreprise,Toluca,Mexique,Mexique,LATAM - Nord,OFF-EN-10003080,Fournitures de bureau,Enveloppes,0,"Kraft Peel and Seal, Security-Tint",55.4,1,23.2
747,MX-2015-115826,2015,8,23,2015,8,27,Tarif normal,CC-13045,Crístofer Cabrera,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,TEC-AC-10002738,Produits technologiques,Accessoires,0,"Belkin Memory Card, Programmable",2248.2,3,921.6
748,MX-2015-115826,2015,8,23,2015,8,27,Tarif normal,CC-13045,Crístofer Cabrera,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-AR-10001190,Fournitures de bureau,Art,0,"Boston Canvas, Easy-Erase",335.6,1,46.8
749,MX-2015-115826,2015,8,23,2015,8,27,Tarif normal,CC-13045,Crístofer Cabrera,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,TEC-MA-10002779,Produits technologiques,Machines,0.002,"Panasonic Receipt Printer, Red",13952.44,7,1509.2392
750,SV-2016-100293,2016,11,18,2016,11,20,Prioritaire,ÁU-10285,Águeda Urbina,Entreprise,San Salvador,San Salvador,Le Salvador,LATAM - Centre,OFF-ST-10004695,Fournitures de bureau,Stockage,0,"Fellowes File Cart, Blue",1502.4,4,209.6
751,SV-2016-100293,2016,11,18,2016,11,20,Prioritaire,ÁU-10285,Águeda Urbina,Entreprise,San Salvador,San Salvador,Le Salvador,LATAM - Centre,TEC-CO-10000178,Produits technologiques,Photocopieurs,0,"Hewlett Ink, Laser",5513.6,8,1488
752,MX-2015-122434,2015,6,16,2015,6,22,Tarif normal,IC-16540,Inés Calvillo,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-AR-10003829,Fournitures de bureau,Art,0,"Stanley Markers, Fluorescent",481.6,7,110.6
753,MX-2015-122434,2015,6,16,2015,6,22,Tarif normal,IC-16540,Inés Calvillo,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,OFF-LA-10001831,Fournitures de bureau,Étiquettes,0,"Harbour Creations Shipping Labels, Adjustable",931,5,176
754,MX-2017-128468,2017,9,5,2017,9,10,Tarif normal,MO-18700,Melisa Olivo,Grand public,San Luis Río Colorado,Sonora,Mexique,LATAM - Nord,OFF-AR-10000715,Fournitures de bureau,Art,0,"Boston Markers, Blue",406.4,2,44.4
755,MX-2017-109631,2017,6,26,2017,7,2,Tarif normal,LS-17560,Laia Santillán,Bureau à domicile,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,FUR-FU-10002539,Mobilier,Meubles,0,"Tenex Clock, Erganomic",651.6,2,71.6
756,AR-2017-127859,2017,5,25,2017,5,30,Tarif normal,BH-11875,Baudilia Hurtado,Entreprise,Buenos Aires,Cité autonome de Buenos Aires,Argentine,LATAM - Sud,OFF-ST-10001478,Fournitures de bureau,Stockage,0.4,"Tenex File Cart, Single Width",882.24,4,117.44
757,AR-2017-127859,2017,5,25,2017,5,30,Tarif normal,BH-11875,Baudilia Hurtado,Entreprise,Buenos Aires,Cité autonome de Buenos Aires,Argentine,LATAM - Sud,TEC-MA-10002264,Produits technologiques,Machines,0.402,"Panasonic Printer, Durable",1275.06,1,-857.1444
758,AR-2017-127859,2017,5,25,2017,5,30,Tarif normal,BH-11875,Baudilia Hurtado,Entreprise,Buenos Aires,Cité autonome de Buenos Aires,Argentine,LATAM - Sud,OFF-BI-10002986,Fournitures de bureau,Classeurs,0.4,"Avery Binder Covers, Recycled",210,2,-119.2
759,DO-2018-132150,2018,8,5,2018,8,7,Prioritaire,KP-17275,Karina Padilla,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,TEC-PH-10003713,Produits technologiques,Téléphones,0.2,"Cisco Audio Dock, Cordless",780.8,2,29.2
760,DO-2018-132150,2018,8,5,2018,8,7,Prioritaire,KP-17275,Karina Padilla,Grand public,Santo Domingo,Santo Domingo,République dominicaine,LATAM - Caraïbes,FUR-BO-10002708,Mobilier,Bibliothèques,0.2,"Dania Library with Doors, Pine",256,1,-48
761,MX-2018-105858,2018,11,27,2018,11,29,Prioritaire,DS-13315,Dafne Sedillo,Grand public,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,TEC-PH-10001148,Produits technologiques,Téléphones,0,"Samsung Signal Booster, VoIP",2302.2,9,621
762,CO-2018-133830,2018,4,15,2018,4,17,Prioritaire,MG-18970,Miren Gil,Bureau à domicile,Bogotá,Bogotá,Colombie,LATAM - Sud,OFF-FA-10004424,Fournitures de bureau,Éléments de fixation,0,"Advantus Clamps, 12 Pack",869.4,3,339
763,CO-2018-133830,2018,4,15,2018,4,17,Prioritaire,MG-18970,Miren Gil,Bureau à domicile,Bogotá,Bogotá,Colombie,LATAM - Sud,OFF-BI-10000323,Fournitures de bureau,Classeurs,0,"Wilson Jones 3-Hole Punch, Clear",745.6,8,328
764,CO-2018-133830,2018,4,15,2018,4,17,Prioritaire,MG-18970,Miren Gil,Bureau à domicile,Bogotá,Bogotá,Colombie,LATAM - Sud,OFF-AR-10002094,Fournitures de bureau,Art,0,"Boston Pencil Sharpener, Water Color",17924,5,3047
765,CO-2018-133830,2018,4,15,2018,4,17,Prioritaire,MG-18970,Miren Gil,Bureau à domicile,Bogotá,Bogotá,Colombie,LATAM - Sud,OFF-EN-10002449,Fournitures de bureau,Enveloppes,0,"Ames Interoffice Envelope, Security-Tint",1876.8,6,562.8
766,NI-2015-153710,2015,12,30,2016,1,1,J+2,AR-10750,Adriano Rolón,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-AR-10000711,Fournitures de bureau,Art,0,"BIC Pens, Easy-Erase",406.4,2,44.4
767,NI-2015-153710,2015,12,30,2016,1,1,J+2,AR-10750,Adriano Rolón,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-SU-10002342,Fournitures de bureau,Fournitures,0,"Kleencut Scissors, Steel",24294.4,8,5344
768,NI-2015-153710,2015,12,30,2016,1,1,J+2,AR-10750,Adriano Rolón,Grand public,Managua,Managua,Nicaragua,LATAM - Centre,OFF-BI-10001384,Fournitures de bureau,Classeurs,0,"Cardinal Binder, Economy",145.6,2,68.4
769,NI-2016-120537,2016,9,7,2016,9,12,Tarif normal,VC-21730,Virgilio Cardona,Bureau à domicile,Managua,Managua,Nicaragua,LATAM - Centre,OFF-ST-10002555,Fournitures de bureau,Stockage,0,"Eldon Lockers, Industrial",1337.6,4,655.2
770,GT-2018-151442,2018,7,31,2018,8,4,Tarif normal,VC-21535,Victoria Chavarría,Bureau à domicile,Chinautla,Guatemala,Guatemala,LATAM - Centre,OFF-PA-10001650,Fournitures de bureau,Papier,0,"Xerox Message Books, Premium",8763,3,3592.8
771,CO-2015-162992,2015,11,18,2015,11,23,Tarif normal,FA-14800,Florencio Anguiano,Entreprise,Medellín,Antioquia,Colombie,LATAM - Sud,TEC-MA-10001825,Produits technologiques,Machines,0.002,"Epson Calculator, Durable",826.94,1,362.7428
772,BR-2017-114202,2017,6,16,2017,6,21,Tarif normal,VH-21640,Víctor Huerta,Grand public,Mauá,São Paulo,Brésil,LATAM - Sud,TEC-CO-10003516,Produits technologiques,Photocopieurs,0.002,"Sharp Ink, High-Speed",10579.8,5,1038.798
773,MX-2016-124443,2016,3,31,2016,4,6,Tarif normal,NJ-19420,Nilo Jaime,Entreprise,Ciudad de México,Distrito Federal,Mexique,LATAM - Nord,TEC-PH-10000037,Produits technologiques,Téléphones,0.002,"Cisco Signal Booster, Cordless",3811.96,3,1443.7608
